Title,Genre(s),Developer(s),Publisher(s),Release date
0 Day Attack on Earth,Shooter,Gulti,Square Enix,23-Dec-09
007 Legends,First-person shooter,Eurocom,Activision,16-Oct-12
007: Quantum of Solace,First-person shooter,Treyarch,Activision,4-Nov-08
0-D Beat Drop,Puzzle & Trivia,Cyclone Zero,Arc System Works,11-Nov-09
1 vs. 100,Party,Microsoft Studios,Microsoft Studios,19-Nov-09
11eyes CrossOver,Visual Novel,Lass,5pb.,Unreleased
187 Ride or Die,Driving,Ubisoft Paris,Ubisoft,24-Aug-05
1942: Joint Strike,Action & Adventure,Backbone Entertainment,Capcom,23-Jul-08
2006 FIFA World Cup,Sports,EA Canada,EA Sports,24-Apr-06
2010 FIFA World Cup South Africa,Sports,EA Canada,EA Sports,27-Apr-10
2014 FIFA World Cup Brazil,Sports,EA Canada,EA Sports,15-Apr-14
25 to Life,Third person shooter,Eidos Interactive,Square Enix,17-Jan-06
3 on 3 NHL Arcade,Sports & Recreation,EA Canada,Electronic Arts,11-Feb-09
3D Ultra Minigolf Adventures,Sports & Recreation,Wanako Games,Vivendi Games,18-Apr-07
3D Ultra Minigolf Adventures 2,Sports & Recreation,Wanako Games,Konami,27-Oct-10
50 Cent: Blood on the Sand,Third-person shooter,Swordfish Studios,THQ,24-Feb-09
50 Cent: Bulletproof,Third person shooter,Genuine Games,Vivendi Universal Games,22-Nov-05
A Kingdom for Keflings,Strategy & Simulation,NinjaBee,Microsoft Studios,19-Nov-08
A World of Keflings,Strategy & Simulation,NinjaBee,Microsoft Studios,22-Dec-10
A.R.E.S.: Extinction Agenda EX,Action & Adventure,Extend Studio,Aksys Games,2-Oct-13
Absolute: Blazing Infinity,Tactical role-playing,Idea Factory,Idea Factory,Unreleased
Abyss Odyssey,Action & Adventure,ACE Team,Atlus,16-Jul-14
AC/DC Live: Rock Band Track Pack,Music,Harmonix,MTV Games,2-Nov-08
Ace Combat 6: Fires of Liberation,Combat flight simulator,Namco Bandai Games,"Namco Bandai Games, AtariEU",23-Oct-07
Ace Combat: Assault Horizon,Combat flight simulator,Namco Bandai Games,Namco Bandai Games,11-Oct-11
Aces of the Galaxy,Action & Adventure,Artech Digital Entertainment,Vivendi Games,4-Jun-08
Action Packed Bundle,Action & Adventure,Misc,Microsoft Studios,19-Jul-13
Adidas miCoach,Sports,Lightning Fish,505 Games,24-Jul-12
Adrenalin Misfits,Sports,Konami,Konami,4-Nov-10
Adventure Time: Explore the Dungeon Because I DON'T KNOW!,Action-adventure,WayForward Technologies,D3 Publisher,19-Nov-13
Adventure Time: Finn & Jake Investigations,Action-adventure,Vicious Cycle Software,Little Orbit,20-Oct-15
Adventure Time: The Secret of the Nameless Kingdom,Action-adventure,WayForward Technologies,Little Orbit,18-Nov-14
Adventures of ShuggyThe Adventures of Shuggy,Action & Adventure,Smudged Cat Games,Valcon Games,15-Jun-12
Aegis Wing,Action & Adventure,Carbonated Games,Microsoft Studios,16-May-07
AFL Live,Sports,Big Ant Studios,Tru Blu Entertainment,Unreleased
AFL Live 2,Sports,Wicked Witch Software,Tru Blu Entertainment,Unreleased
Afro Samurai,Action,Namco Bandai Games,Namco Bandai Games,27-Jan-09
After Burner Climax,Shooter,Sega,Sega,21-Apr-10
Age of Booty,Strategy & Simulation,Certain Affinity,Capcom,15-Oct-08
Air Conflicts: Pacific Carriers,Combat flight simulator,Games Farm,bitComposer,Unreleased
Air Conflicts: Secret Wars,Combat flight simulator,Games Farm,bitComposer,28-Sep-11
Air Conflicts: Vietnam,Combat flight simulator,Kalypso Media,Kalypso Media,15-Oct-13
AirMech Arena,Action & Adventure,Carbon Games,Ubisoft,30-Jul-14
Akai Katana Shin,Bullet hell,Cave,Cave,15-May-12
Akatsuki no Amaneka to Aoi Kyojin,Action-adventure,CyberFront Corporation,CyberFront Corporation,Unreleased
Alan Wake,Third-person shooter,Remedy Entertainment,Microsoft Game Studios,18-May-10
Alan Wake's American Nightmare,Action & Adventure,Remedy Entertainment,Microsoft Studios,22-Feb-12
Alex Adventure: Robot Rampage,Platformer,Behaviour Interactive,Majesco Entertainment 505 Games,13-Aug-13
Alice: Madness Returns,Action-adventure,Spicy Horse,Electronic Arts,14-Jun-11
Alien Breed Episode 1: Evolution,Shooter,Team17,Microsoft Studios,16-Dec-09
Alien Breed Episode 2: Assault,Shooter,Team17,Microsoft Studios,22-Sep-10
Alien Breed Episode 3: Descent,Shooter,Team17,Microsoft Studios,17-Nov-10
Alien Breed Trilogy[note 1],Isometric shooter,Team17,Mastertronic,Unreleased
Alien Hominid HD,Action & Adventure,The Behemoth,Microsoft Studios,28-Feb-07
Alien Rage,Shooter,CI Games,CI Games,18-Oct-13
Alien Spidy,Action & Adventure,Enigma Software Productions,Kalypso Media,20-Mar-13
Alien: Isolation,Survival horror,The Creative Assembly,Sega,7-Oct-14
Aliens vs. Predator,First-person shooter,Rebellion Developments,Sega,16-Feb-10
Aliens: Colonial Marines,First-person Shooter,Gearbox Software,Sega,12-Feb-13
All Round Hunter[note 2],Hunting/Fishing,Beast Studios,505 Games,25-Jun-10
All Zombies Must Die!,Action & Adventure,Doublesix,Square Enix,27-Dec-11
All-Pro Football 2K8,Sports,Visual Concepts,2K Sports,16-Jul-07
Alone in the Dark,Survival horror,Eden Games,Atari,23-Jun-08
Alpha Protocol,Action role-playing,Obsidian Entertainment,Sega,1-Jun-10
Altered Beast,Classics,Backbone Entertainment,Sega,10-Jun-09
Alvin and the Chipmunks: Chipwrecked,Music,Behaviour Interactive,"Majesco Entertainment, 505 Games",15-Nov-11
American Mensa Academy,Puzzle & Trivia,Silverball Studios,Square Enix,12-Dec-12
America's Army: True Soldiers,Tactical Shooter,Red Storm Entertainment,Ubisoft,15-Nov-07
Amped 3,Sports,Indie Built,2K Sports,"November 22, 2005[1]"
AMY,Action & Adventure,VectorCell,Lexis Numérique,11-Jan-12
Anarchy Reigns,Beat 'em up,PlatinumGames,Sega,8-Jan-13
Ancients of Ooga,Platformer,NinjaBee,Microsoft Studios,30-Jun-10
Angry Birds Star Wars,Puzzle,"Rovio Entertainment, Exient Entertainment",Activision,29-Oct-13
Angry Birds Trilogy,Puzzle,Rovio Entertainment,Activision,25-Sep-12
Anna: Extended Edition,Action & Adventure,Dreampainters,Kasedo Games,26-Sep-14
Anomaly: Warzone Earth,Strategy & Simulation,11 bit studios,Microsoft Studios,6-Apr-12
Apache: Air Assault,Combat flight simulator,Gaijin Entertainment,Activision,16-Nov-10
Apocalypse: Desire Next,Strategy,Idea Factory,Idea Factory,Unreleased
Apples to Apples,Puzzle & Trivia,ImaginEngine,THQ,7-Dec-11
Aqua,Action & Adventure,Games Distillery,Microsoft Studios,19-May-10
AquaZone: Life Simulator,Simulation,Frontier Groove,Frontier Groove,Unreleased
Arcana Heart 3,Fighting,Examu,Arc System Works,Unreleased
Arcania: Gothic 4,Action role-playing,Spellbound Entertainment,JoWood,19-Oct-10
Are You Smarter Than a 5th Grader?:,Family & Educational,Blitz Games,THQ,29-Oct-08
Arkadian Warriors,Action & Adventure,Wanako Games,Activision,12-Dec-07
Arkanoid Live!,Puzzle & Trivia,Taito,Taito,6-May-09
Armored Core 4,Vehicular combat,FromSoftware,"Sega, 505 GamesEU, From SoftwareJP",20-Mar-07
Armored Core V,Vehicular combat,FromSoftware,Namco Bandai Games America,20-Mar-12
Armored Core: For Answer,Vehicular combat,FromSoftware,Sega,16-Sep-08
Armored Core: Verdict Day,Vehicular combat,FromSoftware,Namco Bandai,24-Sep-13
Army of Two,Third-person shooter,EA Montreal,Electronic Arts,6-Mar-08
Army of Two: The 40th Day,Third-person shooter,EA Montreal,Electronic Arts,12-Jan-10
Army of Two: The Devil's Cartel,Third-person shooter,Visceral Games,Electronic Arts,26-Mar-13
Ascend: Hand of Kul,Action & Adventure,Signal Studios,Microsoft Studios,25-Sep-13
Ashes Cricket 2009,Sports,Transmission Games,Codemasters,Unreleased
Assassin's Creed,"Action-adventure, stealth",Ubisoft Montreal,Ubisoft,13-Nov-07
Assassin's Creed II,"Action-adventure, stealth",Ubisoft Montreal,Ubisoft,17-Nov-09
Assassin's Creed III,"Action-adventure, stealth",Ubisoft Montreal,Ubisoft,30-Oct-12
Assassin's Creed IV: Black Flag,"Action-adventure, stealth",Ubisoft Montreal,Ubisoft,29-Oct-13
Assassin's Creed Rogue,"Action-adventure, stealth",Ubisoft Sofia,Ubisoft,11-Nov-14
Assassin's Creed: Brotherhood,"Action-adventure, stealth",Ubisoft Montreal,Ubisoft,16-Nov-10
Assassin's Creed: Liberation HD,Action & Adventure,Ubisoft Sofia,Ubisoft,15-Jan-14
Assassin's Creed: Revelations,"Action-adventure, stealth",Ubisoft Montreal,Ubisoft,15-Nov-11
Assault Heroes,Action & Adventure,Wanako Games,Microsoft Studios,13-Dec-06
Assault Heroes 2,Action & Adventure,Wanako Games,Vivendi Games,14-May-08
Asterix at the Olympic Games,Sports,Étranges Libellules,Atari,Unreleased
Asteroids/Asteroids Deluxe,Classics,Stainless Games,Atari,28-Nov-07
AstroPop,Puzzle & Trivia,PopCap Games,Microsoft Studios,22-Mar-06
Asura's Wrath,"Action, Beat 'em up",CyberConnect2,Capcom,21-Feb-12
A-Train HX,Train Sim,Artdink,"505 GamesEU, ArtdinkJP",Unreleased
Avatar: The Last Airbender – The Burning Earth[note 3],Action-adventure,THQ,THQ,19-Nov-07
Awesomenauts,Platformer,Ronimo Games,dtp entertainment,2-May-12
Axel & Pixel,Family & Educational,Silver Wish Games,2K Games,14-Oct-09
Babel Rising,Kinect,Mando Productions,Ubisoft,13-Jun-12
Back to the Future: The Game,Graphic adventure,Telltale Games,Telltale Games,13-Oct-15
Backbreaker,Sports,NaturalMotion,505 Games,1-Jun-10
